image,sigma,method,psnr,ssim,runtime_ms
camera,15,Gaussian,27.5298,0.753866,1139.7
camera,15,Median,28.1107,0.659597,2887.0
camera,15,NLM,29.8037,0.791287,649.4
camera,15,BM3D,31.8556,0.870432,4299.3
camera,25,Gaussian,26.8002,0.673038,1234.6
camera,25,Median,25.8225,0.500799,2766.3
camera,25,NLM,28.1213,0.741186,637.1
camera,25,BM3D,29.6935,0.797095,2908.2
camera,50,Gaussian,24.1462,0.499477,1166.4
camera,50,Median,21.4159,0.286113,2695.4
camera,50,NLM,24.7552,0.648305,618.3
camera,50,BM3D,26.656,0.716321,3140.5
astronaut,15,Gaussian,27.5118,0.785828,1126.0
astronaut,15,Median,29.1707,0.762532,2884.2
astronaut,15,NLM,31.39,0.818709,605.2
astronaut,15,BM3D,33.3545,0.859936,3256.9
astronaut,25,Gaussian,26.5202,0.71359,1097.4
astronaut,25,Median,26.4874,0.612985,2662.0
astronaut,25,NLM,28.0063,0.743095,610.3
astronaut,25,BM3D,30.3107,0.810696,3165.7
astronaut,50,Gaussian,23.4667,0.565165,1248.3
astronaut,50,Median,21.7992,0.393825,2923.5
astronaut,50,NLM,23.2404,0.606335,662.0
astronaut,50,BM3D,25.3399,0.725828,2673.8
coins,15,Gaussian,25.3339,0.731814,568.7
coins,15,Median,26.9673,0.702537,1312.7
coins,15,NLM,28.7603,0.808869,289.1
coins,15,BM3D,30.9868,0.869594,1482.1
coins,25,Gaussian,24.8593,0.668907,577.7
coins,25,Median,24.922,0.561147,1444.0
coins,25,NLM,26.56,0.74834,300.4
coins,25,BM3D,28.5266,0.813554,2117.6
coins,50,Gaussian,23.2154,0.522567,577.1
coins,50,Median,20.8197,0.357742,1500.9
coins,50,NLM,23.4405,0.629444,385.1
coins,50,BM3D,25.3944,0.717015,2420.6
clock,15,Gaussian,36.5206,0.869885,513.5
clock,15,Median,32.178,0.657718,1384.0
clock,15,NLM,40.2011,0.961042,301.8
clock,15,BM3D,42.0666,0.973736,3459.0
clock,25,Gaussian,32.8512,0.736101,551.5
clock,25,Median,27.9131,0.427288,1317.0
clock,25,NLM,38.0156,0.933295,306.8
clock,25,BM3D,40.1465,0.964316,2374.9
clock,50,Gaussian,27.0885,0.446433,547.2
clock,50,Median,21.8635,0.166878,1316.0
clock,50,NLM,33.6157,0.8305,290.4
clock,50,BM3D,35.5979,0.929053,1919.6
page,15,Gaussian,20.1138,0.662367,318.9
page,15,Median,21.7599,0.678001,784.0
page,15,NLM,29.204,0.871979,177.9
page,15,BM3D,30.8109,0.917108,1193.1
page,25,Gaussian,19.9763,0.608114,313.4
page,25,Median,21.1303,0.554232,767.2
page,25,NLM,24.7416,0.796003,187.4
page,25,BM3D,27.7745,0.877191,1232.5
page,50,Gaussian,19.2232,0.483151,309.2
page,50,Median,19.0277,0.379007,777.4
page,50,NLM,19.0673,0.576884,184.0
page,50,BM3D,22.5109,0.75374,1874.1
horse,15,Gaussian,22.2934,0.695985,571.1
horse,15,Median,31.9393,0.763675,1346.9
horse,15,NLM,32.4708,0.772236,326.6
horse,15,BM3D,32.2949,0.776632,1930.7
horse,25,Gaussian,21.4466,0.61891,562.3
horse,25,Median,28.9014,0.590663,1371.5
horse,25,NLM,28.2157,0.721045,317.8
horse,25,BM3D,27.8296,0.734246,2208.2
horse,50,Gaussian,18.9973,0.477272,600.6
horse,50,Median,23.673,0.348623,1437.8
horse,50,NLM,22.3225,0.657767,323.6
horse,50,BM3D,21.7253,0.699673,1840.5
chelsea,15,Gaussian,30.7093,0.818221,775.8
chelsea,15,Median,29.8223,0.747823,1751.4
chelsea,15,NLM,30.3656,0.80193,416.3
chelsea,15,BM3D,32.9672,0.88463,3293.4
chelsea,25,Gaussian,29.3174,0.74727,709.3
chelsea,25,Median,26.7953,0.592457,1804.6
chelsea,25,NLM,28.2745,0.728504,395.4
chelsea,25,BM3D,30.6866,0.816963,3157.0
chelsea,50,Gaussian,25.9489,0.568719,726.3
chelsea,50,Median,21.6104,0.336933,1863.7
chelsea,50,NLM,25.7137,0.624272,363.0
chelsea,50,BM3D,28.1142,0.721728,2345.8
coffee,15,Gaussian,27.8557,0.77368,1171.2
coffee,15,Median,28.222,0.713935,3122.1
coffee,15,NLM,29.5858,0.807728,752.5
coffee,15,BM3D,32.5171,0.89466,3198.4
coffee,25,Gaussian,27.0367,0.707384,1246.0
coffee,25,Median,25.898,0.562245,2897.0
coffee,25,NLM,27.3823,0.740016,635.8
coffee,25,BM3D,30.0747,0.83682,4712.1
coffee,50,Gaussian,24.3846,0.540426,1223.6
coffee,50,Median,21.4548,0.331236,3045.5
coffee,50,NLM,24.5212,0.634924,627.7
coffee,50,BM3D,26.2915,0.72027,3307.3
moon,15,Gaussian,35.2405,0.851906,1314.4
moon,15,Median,31.7195,0.664011,3055.7
moon,15,NLM,36.093,0.902961,655.4
moon,15,BM3D,37.7745,0.923706,2749.1
moon,25,Gaussian,32.2407,0.727084,1274.9
moon,25,Median,27.7441,0.444919,3089.1
moon,25,NLM,34.4778,0.872551,659.5
moon,25,BM3D,36.2402,0.905399,3077.8
moon,50,Gaussian,27.0119,0.453873,1257.1
moon,50,Median,21.8623,0.183137,3366.2
moon,50,NLM,31.8624,0.778699,706.1
moon,50,BM3D,33.5868,0.867372,3913.6
text,15,Gaussian,28.9689,0.801907,356.3
text,15,Median,29.6937,0.744446,780.6
text,15,NLM,30.7194,0.814814,197.9
text,15,BM3D,33.515,0.879927,2228.9
text,25,Gaussian,27.9955,0.727736,359.0
text,25,Median,26.5547,0.584472,987.5
text,25,NLM,27.2522,0.728946,213.5
text,25,BM3D,31.4902,0.843834,1494.5
text,50,Gaussian,25.1595,0.546579,390.7
text,50,Median,21.4892,0.347208,1005.6
text,50,NLM,23.9344,0.566433,215.5
text,50,BM3D,27.9499,0.745618,1682.3
brick,15,Gaussian,30.9171,0.872795,1417.6
brick,15,Median,30.7518,0.770912,3021.8
brick,15,NLM,33.3923,0.945282,665.5
brick,15,BM3D,37.1417,0.973425,3063.2
brick,25,Gaussian,29.4676,0.788093,1247.6
brick,25,Median,27.0951,0.609509,3021.3
brick,25,NLM,27.9474,0.876605,657.8
brick,25,BM3D,34.6358,0.957824,2273.5
brick,50,Gaussian,26.0128,0.603424,1189.0
brick,50,Median,21.7281,0.39336,3711.7
brick,50,NLM,22.7744,0.638247,716.1
brick,50,BM3D,30.731,0.907546,3141.8
grass,15,Gaussian,21.4295,0.655214,1335.8
grass,15,Median,23.0184,0.778292,2939.2
grass,15,NLM,22.8504,0.720801,688.2
grass,15,BM3D,27.163,0.916262,2472.7
grass,25,Gaussian,21.2338,0.642583,1278.7
grass,25,Median,21.9795,0.725752,2889.9
grass,25,NLM,20.6638,0.565656,676.4
grass,25,BM3D,24.2978,0.833177,2364.2
grass,50,Gaussian,20.4369,0.591193,1199.4
grass,50,Median,19.3772,0.588501,2964.5
grass,50,NLM,18.6223,0.350603,632.8
grass,50,BM3D,20.8729,0.614776,2321.2
