dataset,sigma,method,psnr_ref,ssim_ref,source,notes
set12,15,BM3D,32.372,,DnCNN Table III,Average over 12 widely used grayscale test images
set12,25,BM3D,29.969,,DnCNN Table III,Average over 12 widely used grayscale test images
set12,50,BM3D,26.722,,DnCNN Table III,Average over 12 widely used grayscale test images
set12,15,DnCNN-S,32.859,,DnCNN Table III,Deep-learning target for next stage
set12,25,DnCNN-S,30.436,,DnCNN Table III,Deep-learning target for next stage
set12,50,DnCNN-S,27.178,,DnCNN Table III,Deep-learning target for next stage
bsd68,15,BM3D,31.07,,DnCNN Table II,Average PSNR on BSD68
bsd68,25,BM3D,28.57,,DnCNN Table II,Average PSNR on BSD68
bsd68,50,BM3D,25.62,,DnCNN Table II,Average PSNR on BSD68
bsd68,15,DnCNN-S,31.73,,DnCNN Table II,Deep-learning target for next stage
bsd68,25,DnCNN-S,29.23,,DnCNN Table II,Deep-learning target for next stage
bsd68,50,DnCNN-S,26.23,,DnCNN Table II,Deep-learning target for next stage
bsd68,15,BM3D,31.08,0.8722,DnCNN Table V,Average PSNR/SSIM on BSD68
bsd68,25,BM3D,28.57,0.8017,DnCNN Table V,Average PSNR/SSIM on BSD68
bsd68,50,BM3D,25.62,0.6869,DnCNN Table V,Average PSNR/SSIM on BSD68
