dataset,image,sigma,seed,method,psnr,ssim,runtime_ms,kernel_size,sigma_filter,patch_size,search_size,h,h_factor,sigma_psd,sigma_factor
set12,01,25,42,Gaussian,23.928904191347673,0.47501397294633496,294.5585999987088,3.0,0.5,,,,,,
set12,01,25,42,Gaussian,25.167366562805636,0.6181366777775681,265.5683000011777,3.0,1.0,,,,,,
set12,01,25,42,Gaussian,24.787280485389893,0.6168503577098362,267.5674000001891,3.0,1.5,,,,,,
set12,01,25,42,Gaussian,24.637005524373233,0.6129419783253077,256.9913000006636,3.0,2.0,,,,,,
set12,01,25,42,Gaussian,24.52597583443108,0.6093479197800558,256.0042999994039,3.0,3.0,,,,,,
set12,01,25,42,Gaussian,23.934656110715935,0.475253593717066,261.7856999986543,5.0,0.5,,,,,,
set12,01,25,42,Gaussian,24.87230967432721,0.66176158109052,258.4294999996928,5.0,1.0,,,,,,
set12,01,25,42,Gaussian,23.811799360903983,0.679554257666649,256.837999999334,5.0,1.5,,,,,,
set12,01,25,42,Gaussian,23.324026756081704,0.6719525887269387,265.2171999998245,5.0,2.0,,,,,,
set12,01,25,42,Gaussian,22.955472510754657,0.6596528759861909,259.3649999998888,5.0,3.0,,,,,,
set12,01,25,42,Gaussian,23.934656110715935,0.475253593717066,262.18100000005506,7.0,0.5,,,,,,
set12,01,25,42,Gaussian,24.837037436826282,0.6647727076774038,259.59320000038133,7.0,1.0,,,,,,
set12,01,25,42,Gaussian,23.464080603992578,0.6902950430891842,265.36440000018047,7.0,1.5,,,,,,
set12,01,25,42,Gaussian,22.686624105865288,0.6797434737544175,262.2391000004427,7.0,2.0,,,,,,
set12,01,25,42,Gaussian,22.05116271854312,0.6574438774834782,261.31939999868337,7.0,3.0,,,,,,
set12,01,25,42,Gaussian,23.934656110715935,0.475253593717066,269.6845000009489,9.0,0.5,,,,,,
set12,01,25,42,Gaussian,24.83595364016808,0.6648328095495959,263.11599999826285,9.0,1.0,,,,,,
set12,01,25,42,Gaussian,23.388675658727283,0.6919000692542135,260.72260000000824,9.0,1.5,,,,,,
set12,01,25,42,Gaussian,22.436837313629688,0.6793574433612707,262.55200000014156,9.0,2.0,,,,,,
set12,01,25,42,Gaussian,21.549019133975428,0.6474117604805694,261.788499999966,9.0,3.0,,,,,,
set12,01,25,42,NLM,27.22606470837006,0.7473358299253067,99.84679999979562,,,3.0,11.0,15.0,0.6,,
set12,01,25,42,NLM,27.22606470837006,0.7473358299253067,44.68520000045828,,,3.0,11.0,20.0,0.8,,
set12,01,25,42,NLM,27.22606470837006,0.7473358299253067,44.34829999991052,,,3.0,11.0,25.0,1.0,,
set12,01,25,42,NLM,27.22606470837006,0.7473358299253067,44.59590000078606,,,3.0,11.0,30.0,1.2,,
set12,01,25,42,NLM,27.22606470837006,0.7473358299253067,44.27200000100129,,,3.0,11.0,37.5,1.5,,
