dataset,image,sigma,seed,method,psnr,ssim,runtime_ms,kernel_size,sigma_filter,patch_size,search_size,h,h_factor,sigma_psd,sigma_factor
set12,01,25,42,BM3D,29.320189443773153,0.8482956078405796,1011.6556000011769,,,,,,,25.0,1.0
set12,01,25,42,BM3D,28.67274870904851,0.8270048687425624,854.6798999996099,,,,,,,31.25,1.25
set12,01,25,42,BM3D,28.094654804920385,0.7597605264789927,856.299899998703,,,,,,,18.75,0.75
set12,01,25,42,BM3D,28.09400489480577,0.8124510952036981,896.5500999984215,,,,,,,37.5,1.5
set12,01,25,42,BM3D,22.661873521415,0.46280158538525457,1053.9935999986483,,,,,,,12.5,0.5
set12,01,25,42,Gaussian,25.167366562805636,0.6181366777775681,265.5683000011777,3.0,1.0,,,,,,
set12,01,25,42,Gaussian,24.87230967432721,0.66176158109052,258.4294999996928,5.0,1.0,,,,,,
set12,01,25,42,Gaussian,24.837037436826282,0.6647727076774038,259.59320000038133,7.0,1.0,,,,,,
set12,01,25,42,Gaussian,24.83595364016808,0.6648328095495959,263.11599999826285,9.0,1.0,,,,,,
set12,01,25,42,Gaussian,24.787280485389893,0.6168503577098362,267.5674000001891,3.0,1.5,,,,,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.83140000027197,,,5.0,11.0,15.0,0.6,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.18450000027951,,,5.0,11.0,20.0,0.8,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,42.97670000050857,,,5.0,11.0,25.0,1.0,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.25789999893459,,,5.0,11.0,30.0,1.2,,
set12,01,25,42,NLM,28.0319279517877,0.7888558060974423,43.302699999912875,,,5.0,11.0,37.5,1.5,,
