dataset,method,sigma,psnr_mean,psnr_std,ssim_mean,ssim_std,runtime_mean_ms,runtime_median_ms,n_images
bsd68,BM3D_TAU,5,37.5324,1.7791,0.966856,0.012106,1452.791,1363.077,68
bsd68,BM3D_TAU,10,33.3063,2.1621,0.922526,0.030267,1425.56,1383.057,68
bsd68,BM3D_TAU,15,31.0396,2.3036,0.87923,0.047605,1403.114,1373.274,68
bsd68,BM3D_TAU,20,29.5155,2.3757,0.839866,0.057683,1424.902,1390.662,68
bsd68,BM3D_TAU,25,28.3695,2.4229,0.804177,0.063441,1417.415,1402.704,68
bsd68,BM3D_TAU,30,27.4511,2.4337,0.772672,0.069052,1417.415,1403.34,68
bsd68,BM3D_TAU,35,26.6803,2.4502,0.743563,0.073887,1416.054,1397.403,68
bsd68,BM3D_TAU,40,26.0134,2.4443,0.717468,0.078829,1428.798,1402.208,68
bsd68,BM3D_TAU,50,24.8911,2.4451,0.671475,0.089012,1435.495,1412.68,68
bsd68,BM3D_TAU,75,22.6434,2.396,0.582346,0.110644,1439.693,1404.066,68
bsd68,Gaussian_SciPy,5,25.8644,3.4536,0.746792,0.102903,2.222,2.136,68
bsd68,Gaussian_SciPy,10,25.7542,3.37,0.737019,0.09913,2.7,2.586,68
bsd68,Gaussian_SciPy,15,25.5781,3.2439,0.722015,0.093559,2.801,2.769,68
bsd68,Gaussian_SciPy,20,25.3437,3.0855,0.702606,0.087138,2.745,2.682,68
bsd68,Gaussian_SciPy,25,25.064,2.9116,0.680515,0.08014,2.779,2.706,68
bsd68,Gaussian_SciPy,30,24.7457,2.7307,0.65694,0.073659,2.699,2.614,68
bsd68,Gaussian_SciPy,35,24.406,2.566,0.632456,0.067665,2.687,2.725,68
bsd68,Gaussian_SciPy,40,24.0492,2.4088,0.608516,0.063334,2.665,2.614,68
bsd68,Gaussian_SciPy,50,23.3054,2.1328,0.561859,0.056805,2.848,2.818,68
bsd68,Gaussian_SciPy,75,21.4274,1.7066,0.46146,0.049476,2.725,2.665,68
bsd68,Median_SciPy,5,28.8802,3.7613,0.841869,0.067575,15.711,15.583,68
bsd68,Median_SciPy,10,27.9383,3.0923,0.786185,0.058141,16.138,15.902,68
bsd68,Median_SciPy,15,26.9003,2.5414,0.71971,0.056553,16.501,16.298,68
bsd68,Median_SciPy,20,25.8697,2.1151,0.653337,0.062791,16.367,16.21,68
bsd68,Median_SciPy,25,24.8932,1.7834,0.592635,0.070847,16.446,16.212,68
bsd68,Median_SciPy,30,23.9813,1.517,0.53935,0.078109,16.645,16.506,68
bsd68,Median_SciPy,35,23.1329,1.3164,0.492334,0.083289,16.59,16.4,68
bsd68,Median_SciPy,40,22.339,1.1463,0.451367,0.086806,16.422,16.346,68
