dataset,method,sigma,psnr_mean,psnr_std,ssim_mean,ssim_std,runtime_mean_ms,runtime_median_ms,n_images
set12,BM3D_TAU,5,38.0296,0.7071,0.960476,0.00989,1451.934,1053.295,12
set12,BM3D_TAU,10,34.4114,1.0099,0.927395,0.016766,1431.683,819.562,12
set12,BM3D_TAU,15,32.41,1.1495,0.898888,0.022651,1370.873,825.818,12
set12,BM3D_TAU,20,31.0348,1.29,0.874252,0.02692,1429.342,810.303,12
set12,BM3D_TAU,25,29.9619,1.3615,0.852322,0.030819,1337.008,892.18,12
set12,BM3D_TAU,30,29.0695,1.3722,0.83228,0.034282,1317.384,837.038,12
set12,BM3D_TAU,35,28.3197,1.432,0.811996,0.037578,1377.591,926.108,12
set12,BM3D_TAU,40,27.6113,1.3844,0.793567,0.039921,1372.414,1017.676,12
set12,BM3D_TAU,50,26.3812,1.5188,0.758557,0.045649,1369.52,791.924,12
set12,BM3D_TAU,75,23.7067,1.4999,0.680761,0.056438,1359.823,854.814,12
set12,Gaussian_SciPy,5,25.9034,2.2744,0.803483,0.043068,2.779,1.599,12
set12,Gaussian_SciPy,10,25.8168,2.2327,0.79292,0.042301,2.807,1.436,12
set12,Gaussian_SciPy,15,25.6779,2.1695,0.776581,0.041363,2.975,1.46,12
set12,Gaussian_SciPy,20,25.4914,2.0849,0.755964,0.040726,2.938,1.52,12
set12,Gaussian_SciPy,25,25.2592,1.9917,0.733211,0.040766,2.914,1.613,12
set12,Gaussian_SciPy,30,24.9885,1.8836,0.708024,0.040928,2.767,1.516,12
set12,Gaussian_SciPy,35,24.6958,1.7949,0.683181,0.041967,2.627,1.424,12
set12,Gaussian_SciPy,40,24.3649,1.6852,0.656921,0.043339,2.818,1.522,12
set12,Gaussian_SciPy,50,23.691,1.5603,0.607859,0.046459,2.717,1.588,12
set12,Gaussian_SciPy,75,21.8867,1.2428,0.504188,0.046803,2.883,1.586,12
set12,Median_SciPy,5,30.2074,2.665,0.877825,0.037828,14.479,7.053,12
set12,Median_SciPy,10,29.0629,2.136,0.818515,0.041896,15.111,6.758,12
set12,Median_SciPy,15,27.8018,1.6733,0.746746,0.048604,15.588,6.626,12
set12,Median_SciPy,20,26.5769,1.3024,0.675246,0.054726,15.242,7.201,12
set12,Median_SciPy,25,25.4509,1.0391,0.611706,0.058888,16.039,7.445,12
set12,Median_SciPy,30,24.403,0.8371,0.555557,0.06275,15.55,7.881,12
set12,Median_SciPy,35,23.4763,0.6934,0.507231,0.063403,15.3,7.29,12
set12,Median_SciPy,40,22.603,0.5547,0.464738,0.064465,15.345,7.49,12
set12,Median_SciPy,50,21.0629,0.4122,0.396766,0.06335,15.358,7.569,12
set12,Median_SciPy,75,18.0977,0.1848,0.283296,0.056942,15.694,7.272,12
set12,NLM_IPOL_Like,5,35.8075,0.4024,0.926744,0.016886,2377.669,1065.49,12
set12,NLM_IPOL_Like,10,30.7839,0.3819,0.808558,0.029085,2558.603,1095.142,12
set12,NLM_IPOL_Like,15,27.815,0.373,0.697067,0.042043,2637.745,1119.577,12
set12,NLM_IPOL_Like,20,27.6649,0.6471,0.724315,0.035654,4061.285,1742.386,12
set12,NLM_IPOL_Like,25,26.4191,0.6153,0.665671,0.042248,4194.418,1785.898,12
set12,NLM_IPOL_Like,30,25.4003,0.5162,0.614728,0.049211,4217.438,1835.52,12
set12,NLM_IPOL_Like,35,25.6328,0.7601,0.653741,0.045324,17167.61,7271.504,12
set12,NLM_IPOL_Like,40,25.011,0.7066,0.62375,0.050951,17337.658,7490.505,12
set12,NLM_IPOL_Like,50,24.5445,1.0476,0.637463,0.056098,27561.632,11603.108,12
set12,NLM_IPOL_Like,75,21.3887,1.1391,0.572876,0.066028,30277.624,12683.593,12
set12,NLM_Skimage_Fast,5,37.0542,0.6057,0.949665,0.013324,289.286,139.174,12
set12,NLM_Skimage_Fast,10,33.1504,0.8811,0.902073,0.023601,316.801,145.186,12
set12,NLM_Skimage_Fast,15,30.9308,1.0178,0.860878,0.031722,334.991,148.786,12
set12,NLM_Skimage_Fast,20,29.3463,1.0747,0.825274,0.03808,332.49,153.102,12
set12,NLM_Skimage_Fast,25,28.0156,1.1277,0.790983,0.043637,347.785,163.393,12
set12,NLM_Skimage_Fast,30,26.8991,1.1579,0.760292,0.048584,342.185,161.712,12
set12,NLM_Skimage_Fast,35,25.9098,1.196,0.729812,0.053101,337.323,161.486,12
set12,NLM_Skimage_Fast,40,25.0623,1.1909,0.702947,0.055342,344.08,159.675,12
set12,NLM_Skimage_Fast,50,23.5371,1.2756,0.650097,0.060972,327.668,156.846,12
set12,NLM_Skimage_Fast,75,20.4987,1.4535,0.535872,0.064539,342.99,155.184,12
set12,Noisy,5,34.1674,0.0196,0.881476,0.027149,0.0,0.0,12
set12,Noisy,10,28.1652,0.0537,0.698926,0.054433,0.0,0.0,12
set12,Noisy,15,24.6695,0.0919,0.561391,0.064226,0.0,0.0,12
set12,Noisy,20,22.2095,0.1356,0.465062,0.0655,0.0,0.0,12
set12,Noisy,25,20.3354,0.1265,0.394246,0.063596,0.0,0.0,12
set12,Noisy,30,18.8255,0.1462,0.3406,0.061712,0.0,0.0,12
set12,Noisy,35,17.5739,0.1603,0.298507,0.058693,0.0,0.0,12
set12,Noisy,40,16.4986,0.1642,0.264204,0.056589,0.0,0.0,12
set12,Noisy,50,14.7576,0.1632,0.212783,0.050009,0.0,0.0,12
set12,Noisy,75,11.9036,0.1609,0.137297,0.038921,0.0,0.0,12
